ID,Fecha,Proveedor,Tipo,Compra con IVA,Frambuesa entera,Arándano,Frutilla,Mora,Mix de berries,Crumble,Mango,Piña,Maracuya con pepa,Maracuya sin pepa,Empanada queso normal,Melón Tuna,Pulpa frambuesa,Pulpa frutilla,Pulpa Piña,Pulpa Mango,Pulpa Chirimoya,Pulpa Lúcuma,Jugo de Limón,Sopaipilla Normal ,Sopaipilla Coctel,Empanada  queso coctel,Pasta de choclo,Neto,IVA,Total Bruto,Observación
1,12/06/2025,Cuadratura app,Envasado,,,,,,,,,,65,29,30,,21,5,23,23,10,14,28,42,26,,,,,,
103812930as,29/05/2025,Rapifresh,Granel,Si,,,,,,,100,,,,,,,,,,,,,,,,,,,,
12asd12,29/05/2025,Rapifresh,Envasado,Si,,,,,,,,,,24,,,0,12,,,,,120,,,,,,,,
2,24/06/2025,cuadratura app,Envasado,,,,,,,29,-1,,,,,,,,,,,,,,,,,,,,
3,07/07/2025,Damian,Granel,,10,,,,,58,,,,,,,,,,,,,,,,,,,,,
4,09/07/2025,Correa,Granel,No,,,67,,,,,,,,,,,,,,,,,,,,,,,,
5,11/07/2025,Rapifresh,Granel,Si,,,,,,,120,122,,,,,,,,,,,,,,,,,,,
6,11/07/2025,Rapifresh,Envasado,Si,,,,,,,,,,,,,12,12,,,,,,,,,,,,,
7,15/07/2025,Damian,Granel,No,,,,,,69,,,,,,,,,,,,,,,,,,140000,,,
8,15/07/2025,Correa,Granel,,,13,68,,,,,,,,,,,,,,,,,,,,,,,,
6d386949,28/08/2025,Nacho,,,,,149,,,,,,,,,,,,,,,,,,,,,,,,
e9dcd52f,28/08/2025,Rapifresh,Envasado,,,,,,,,,,,,16,,24,,24,,,,,,,,,,,,
cbc17e3c,28/08/2025,Rapifresh,Granel,,,,,,,,50,108,,,,,,,,,,,,,,,,,,,
77ccf4f0,09/09/2025,Rapifresh,Envasado,,,,,,,,,,,24,80,,24,48,36,24,,,15,,,,,,,,
c0cfb6b4,09/09/2025,Rapifresh,Granel,,,,,,,,,68,,,,,,,,,,,,,,,,,,,
32d3596d,10/09/2025,Nacho,Granel,,,108,54,,,,,,,,,,,,,,,,,,,,,,,,
c4ffb88d,11/09/2025,Rapifresh,Granel,,,,,,,,10,,,,,10,,,,,,,,,,,,,,,
40626d2b,11/09/2025,Rapifresh,Envasado,,,,,,,,,,,,96,,12,,,,,,,,,,,,,,
749910ab,30/09/2025,El Sauce,Envasado,,,,,,,,,,70,,,,,,,,,30,,,,,,,,,
1a238c88,30/09/2025,Rapifresh,Granel,,,,,,,,80,100,,,,,,,,,,,,,,,,,,,
d4b78cdc,30/09/2025,Rapifresh,Granel,,,,,,,,,,,,,20,,,,,,,,,,,,,,,
