Ventas/Fact,Frambuesa,Arandano,Frutilla,Mora,Mix,Frambuesa molida,Mango,Piña,Maracuya,Empanada Queso,,Compras/Fact/Fe,Frambuesa,Arandano,Frutilla,Mora,Mix,Frambuesa Molida,Mango,Piña,Melón Tuna,Maracuya,Empanadas,Pu Frambuesa,Pu Frutilla,Pu Mango,Pu Piña
Total V 02/08/24,2746,1892,428,122,237,87,,,,,,Total C 02/08/24,1300,1878,550,400,320,-,,,,,,,,,
156,,20,,,,,,,,,,Compra 30/08/24,1000,,,,,,120,100,,24,16,,,,
157,15,,,,10,,,,,,,Compra 10/09/24,,,558,,,,,,,,,,,,
158,40,27.2,48,,,,,,,,,12/09/24,760,108.8,,,,,,,,,,,,,
159,,1,3,,,,,,,,,13/09/24,,,,,,,100,120,,24,32,,,,
160,10,10,,,,10,,,,,,19-12-24,,,,,,,200,220,50,48,,10,12,12,12
161,2,,,,,,,,,,,29-01-25,,600,,,,,,,,,,,,,
162,2,,,,,,,,,,,28-02-25,400,,,,,,,,,,,,,,
163,10,10,,,,,,,,,,07-06-25,1000,,,,,,,,,,,,,,
164,15,,,,15,,,,,,"Roberto Alvarez, fecha 13 emision 30-06",,1000,,,,,,,,,,,,,,
165,20,,,,,,,,,,,,,,,,,,,,,,,,,,
166,10,,,,,,,,,,,,,,,,,,,,,,,,,,
167,1,,3,,,,,,,,,,,,,,,,,,,,,,,,
168,5,5,,5,5,,,,,,,,,,,,,,,,,,,,,,
169,,,3,,,3,,,,,,,,,,,,,,,,,,,,,
170,,,,250,,,,,,,,,,,,,,,,,,,,,,,
171,20,10,,,,,,,,,,,,,,,,,,,,,,,,,
172,60,27.2,26,12,,,,,,,,,,,,,,,,,,,,,,,
173,1,,3,1,,,,,,,,,,,,,,,,,,,,,,,
174,,,1,,,,,,,,,,,,,,,,,,,,,,,,
175,,,30,,,,,,,,,,,,,,,,,,,,,,,,
176,20,,,,20,,,,,,,,,,,,,,,,,,,,,,
177,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
178,13,15,,,,,,,,,,,,,,,,,,,,,,,,,
179,60,13.6,24,,,,,10,,,,,,,,,,,,,,,,,,,
180,10,,,,10,,,,,,,,,,,,,,,,,,,,,,
181,5,,,,,,,,,,,,,,,,,,,,,,,,,,
182,1,,3,,,,1,1,1,,,,,,,,,,,,,,,,,,
183,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,
184,,,30,,,10,,,,,,,,,,,,,,,,,,,,,
185,,,30,10,,10,,,,,,,,,,,,,,,,,,,,,
186,20,15,,,,,,,,,,,,,,,,,,,,,,,,,
187,15,,,,,,,,,,,,,,,,,,,,,,,,,,
188,60,24,,10,,,,,,,,,,,,,,,,,,,,,,,
189,,,1,,,,,,,,,,,,,,,,,,,,,,,,
190,,,,,,,1,,,,,,,,,,,,,,,,,,,,
191,,,,,,,,20,,,,,,,,,,,,,,,,,,,
192,10,10,,,,,,,,,,,,,,,,,,,,,,,,,
194,10,10,,,,,,,6,,,,,,,,,,,,,,,,,,
195,10,,,,,,,,,,,,,,,,,,,,,,,,,,
196,20,,,,,,,,,,,,,,,,,,,,,,,,,,
197,60,20,60,12,,,,,,,,,,,,,,,,,,,,,,,
198,2,1,,,,,2,1,,,,,,,,,,,,,,,,,,,
199,3,1,,1,5,,,,,,,,,,,,,,,,,,,,,,
200,,,2,1,,,,,,,,,,,,,,,,,,,,,,,
201,,,2,,2,2,3,3,,,,,,,,,,,,,,,,,,,
202,20,,,,,,,,,,,,,,,,,,,,,,,,,,
203,40,10,25,,,,,,,,,,,,,,,,,,,,,,,,
204,10,10,,,,5,,,,,,,,,,,,,,,,,,,,,
205,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
206,,15,,,,,,,,,,,,,,,,,,,,,,,,,
207,2,2,3,,,,,2,,,,,,,,,,,,,,,,,,,
208,10,,,,10,,,,,,,,,,,,,,,,,,,,,,
209,70,10,50,,,,,,,,,,,,,,,,,,,,,,,,

213,10,,,,,,,,,,,,,,,,,,,,,,,,,,
214,,47,30,,,,,,,,,,,,,,,,,,,,,,,,
215,10,10,,,,,,,,,,,,,,,,,,,,,,,,,
216,20,,,,,,,,,,,,,,,,,,,,,,,,,,
