Fecha,Motivo,ENTERAS,ARANDANOS,FRUTILLAS,MORA,CRUMBLE,MIX,MANGO,PIÑA,MARACUYA C/P,MARACUYA S/P,EMPANADA QUESO,MELÓN,PULP FRAMBU,PULPA FRUTI,PULPA PIÑA,PULPA MANGO,PULPA CHIRIMOYA,PULPA LÚCUMA,J DE LIMÓN,SOP NORMAL,SOP COCTEL
02/01/23,,190,51,50,27,80,35,,,,,,,,,,,,,,,
03-01,Mix,-5,-5,-5,-5,,20,,,,,,,,,,,,,,,
05/01,carga,140,24,36,24,,40,,,,,,,,,,,,,,,
11-01,Carga,110,12,24,36,30,10,,,,,,,,,,,,,,,
19-01,Carga ,200,36,36,36,50,10,,,,,,,,,,,,,,,
26-01,Carga,189,51,12,12,11,31,,,,,,,,,,,,,,,
02-02,Carga,210,,,,30,,,,,,,,,,,,,,,,
07-02,Carga,210,48,36,24,,10,,,,,,,,,,,,,,,
14-02,Mix,-5,-5,-5,-5,,20,,,,,,,,,,,,,,,
14-02,Carga,220,36,12,24,10,30,,,,,,,,,,,,,,,
22-02,Carga,129,60,47,12,,,,,,,,,,,,,,,,,
28-02,Carga ,217,36,24,12,3,10,,,,,,,,,,,,,,,
01-03,Mix ,-1,-1,-1,-1,,2,,,,,,,,,,,,,,,
02-03,Mix ,-2,-2,-2,-2,,11,,,,,,,,,,,,,,,
06-03,Carga,100,60,48,48,10,40,,,,,,,,,,,,,,,
13-03,Carga,143,36,12,12,17,40,,,,,,,,,,,,,,,
19-03,Carga,188,47,12,12,22,,,,,,,,,,,,,,,,
23-03,Carga ,40,25,12,12,60,,,,,,,,,,,,,,,,
02-04,Carga,122,72,48,12,8,40,,,,,,,,,,,,,,,
09-04,Carga,100,60,12,24,10,40,,,,,,,,,,,,,,,
16-04,Carga ,170,47,12,12,,30,,,,,,,,,,,,,,,
23-04,Carga,50,72,24,12,10,20,,,,,,,,,,,,,,,
26-04,Carga ,33,72,,9,7,,,,,,,,,,,,,,,,
07-05,Carga,96,84,36,24,8,60,,,,,,,,,,,,,,,
14-05,Carga,120,60,84,60,10,,,,,,,,,,,,,,,,
23-05,Carga,183,60,48,36,27,50,,,,,,,,,,,,,,,
30-05,Carga ,130,48,36,24,30,20,,,,,,,,,,,,,,,
03-06,Carga,150,36,36,,30,40,,,,,,,,,,,,,,,
12-06,Carga,78,72,48,,42,10,,,,,,,,,,,,,,,
17-06,Carga,158,60,12,12,22,20,,,,,,,,,,,,,,,
22-06,Carga ,50,36,12,,20,20,,,,,,,,,,,,,,,
25-06,Carga am,30,84,24,24,10,10,,,,,,,,,,,,,,,
26-06,Mix,-2,-2,-2,-2,,8,,,,,,,,,,,,,,,
28-06,Cuadratura,-10,,,,,,,,,,,,,,,,,,,,
30-06,Carga ,173,48,48,24,37,42,,,,,,,,,,,,,,,
03-07,Carga,159,72,36,,1,30,,,,,,,,,,,,,,,
09-07,Carga,140,24,,12,10,10,,,,,,,,,,,,,,,
15-07,Cuadratura,,,1,,1,,,,,,,,,,,,,,,,
16-07,Carga ,80,60,84,12,30,40,,,,,,,,,,,,,,,
22/07,mix,-2,-2,-2,-2,,8,,,,,,,,,,,,,,,
22/07,carga,106,24,60,12,24,50,,,,,,,,,,,,,,,
23/07,jugo,,,,-1,,,,,,,,,,,,,,,,,
